cart n.二轮运货马车
carve vt.刻，雕刻；切开
case n.情况；事实；病例
case n.箱(子)，盒(子)，套
cash n.现金，现款
cassette n.盒式录音带；盒子
cast vt.投，扔，抛；浇铸
castle n.城堡；巨大建筑物
casual a.偶然的；随便的
catalog n.目录，目录册
catch vt.捉住；赶上；领会
cathedral n.总教堂；大教堂
cattle n.牛；牲口，家畜
cause n.原因，理由；事业
cave n.山洞，洞穴，窑洞 
cheer vt.使振作；欢呼
cheerful a.快乐的，愉快的
cheese n.乳酪，干酪
chemical a.化学的 n.化学制品
chemist n.化学家；药剂师
chemistry n.化学
cheque n.支票
cherry n.樱桃；樱桃树
chess n.棋；国际象棋
chest n.胸腔，胸膛；箱子
chew vt.咀嚼，嚼碎
chicken n.小鸡，小鸟；鸡肉
chief a.主要的；首席的
childhood n.童年，幼年；早期
childish a.孩子的；幼稚的
chill vt.使变冷 n.寒冷
chimney n.烟囱，烟筒；玻璃罩
chin n.颏，下巴
china n.瓷器，瓷料
chocolate n.巧克力；巧克力糖
choice n.选择，抉择
choke vt.使窒息；塞满
choose vt.选择，挑选；情愿
chop vt.砍，劈；切细vi.砍
Christian n.基督教徒；信徒
Christmas n.圣诞节
cigarette n.香烟，纸烟，卷烟
cinema n.电影院；电影，影片
circuit n.电路；环行；巡行
circular a.圆的；循环的
circulate vt.使循环 vi.循环
circumference n.圆周，周长，圆周线
circumstance n.情况，条件；境遇
citizen n.公民；市民，居民 
compel vt.强迫，迫使屈服 
